participant_uid,condition,item_role,test_boundary_position,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
task_only_00034,task_only,target,post,4.077118893333439,1.6122406999988015,2.4648781933346373
task_only_00034,task_only,target,mid,1.6531451333333582,1.3512993000003917,0.30184583333296655
task_only_00034,task_only,target,pre,1.4203532846138562,1.2825765285711637,0.13777675604269257
task_only_00034,task_only,lure,post,1.2951963272710352,2.655277333333894,-1.360081006062859
task_only_00034,task_only,lure,mid,2.40489568889057,2.8215086545440666,-0.4166129656534965
task_only_00034,task_only,lure,pre,1.6881911727263783,2.2845978444448622,-0.5964066717184839
task_only_00035,task_only,target,post,2.7630883714259005,2.622862215384465,0.1402261560414355
task_only_00035,task_only,target,mid,3.679826587500429,2.4238231500033485,1.2560034374970805
task_only_00035,task_only,target,pre,2.5242412999905355,1.7234843166637195,0.800756983326816
task_only_00035,task_only,lure,post,2.2746128699945984,4.801521089996095,-2.5269082200014967
task_only_00035,task_only,lure,mid,2.5471085999969443,2.2692169545440595,0.2778916454528848
task_only_00035,task_only,lure,pre,3.0520748142859833,2.5403056846161443,0.511769129669839
task_only_00036,task_only,target,post,1.8700323285655551,1.004310783338345,0.8657215452272102
task_only_00036,task_only,target,mid,1.780024088890059,1.2877932545512025,0.4922308343388564
task_only_00036,task_only,target,pre,1.5191940714347376,1.5241200769244012,-0.0049260054896635985
task_only_00036,task_only,lure,post,1.7586877666666016,1.7588543941194932,-0.00016662745289153236
task_only_00036,task_only,lure,mid,2.110793677776302,1.3327603454579895,0.7780333323183124
task_only_00036,task_only,lure,pre,2.18288360000588,1.3811692076941164,0.8017143923117636
task_only_00037,task_only,target,post,1.9362611000076868,1.687835639998472,0.24842546000921484
task_only_00037,task_only,target,mid,2.460626799996438,1.3419071142811194,1.1187196857153185
task_only_00037,task_only,target,pre,1.578205285718598,1.7216553230760978,-0.14345003735749984
task_only_00037,task_only,lure,post,2.5586769999980996,1.8699543857115455,0.6887226142865541
task_only_00037,task_only,lure,mid,2.5172081299999265,1.961127100000158,0.5560810299997685
task_only_00037,task_only,lure,pre,1.8887706076963626,2.0053444571510357,-0.11657384945467308
